소득 분위,가구주 연령대,가구주 학력 수준,가구주 종사상 지위,가구원 수,취업자 수,가구 유형,가구소득(만원)
2분위,40~49세,고졸,기타(무직 등),2인,0인,다문화가구,4529.0
5분위,40~49세,고졸,기타(무직 등),1인,0인,노인가구,18043.0
4분위,65세 이상,대졸 이상,임시·일용근로자,2인,3인 이상,한부모가구,5622.0
3분위,50~59세,고졸,임시·일용근로자,1인,1인,한부모가구,7923.0
1분위,40~49세,초졸 이하,기타(무직 등),3인,1인,다문화가구,2637.0
1분위,60세 이상,중졸,임시·일용근로자,1인,0인,한부모가구,1786.0
1분위,40~49세,대졸 이상,자영업자,2인,3인 이상,노인가구,1586.0
5분위,60세 이상,대졸 이상,기타(무직 등),5인 이상,3인 이상,다문화가구,17442.0
4분위,40~49세,초졸 이하,기타(무직 등),2인,3인 이상,장애인가구,7365.0
4분위,60세 이상,중졸,임시·일용근로자,4인,2인,장애인가구,19121.0
1분위,40~49세,초졸 이하,상용근로자,2인,0인,노인가구,1088.0
5분위,40~49세,중졸,기타(무직 등),3인,0인,노인가구,17415.0
5분위,30~39세,초졸 이하,임시·일용근로자,3인,1인,장애인가구,16760.0
2분위,60세 이상,고졸,임시·일용근로자,3인,1인,다문화가구,8252.0
1분위,60세 이상,초졸 이하,상용근로자,1인,0인,노인가구,2340.0
1분위,60세 이상,대졸 이상,기타(무직 등),3인,0인,장애인가구,1486.0
2분위,39세 이하,대졸 이상,상용근로자,2인,1인,다문화가구,6192.0
3분위,40~49세,대졸 이상,자영업자,5인 이상,0인,노인가구,9705.0
3분위,60세 이상,초졸 이하,상용근로자,3인,1인,한부모가구,3429.0
2분위,65세 이상,대졸 이상,상용근로자,2인,0인,한부모가구,2919.0
4분위,39세 이하,대졸 이상,임시·일용근로자,1인,2인,한부모가구,6755.0
1분위,30~39세,고졸,상용근로자,1인,2인,다문화가구,1202.0
2분위,60세 이상,고졸,자영업자,5인 이상,3인 이상,노인가구,3412.0
2분위,60세 이상,중졸,임시·일용근로자,5인 이상,0인,장애인가구,7439.0
3분위,39세 이하,중졸,자영업자,2인,1인,노인가구,8517.0
4분위,40~49세,중졸,상용근로자,5인 이상,0인,한부모가구,7897.0
1분위,65세 이상,초졸 이하,자영업자,5인 이상,0인,한부모가구,911.0
3분위,30~39세,중졸,자영업자,1인,3인 이상,다문화가구,8360.0
3분위,60세 이상,초졸 이하,상용근로자,2인,1인,장애인가구,2976.0
1분위,40~49세,초졸 이하,상용근로자,5인 이상,0인,다문화가구,1410.0
4분위,65세 이상,중졸,임시·일용근로자,2인,1인,장애인가구,8825.0
1분위,65세 이상,중졸,임시·일용근로자,3인,0인,노인가구,1658.0
1분위,30~39세,초졸 이하,기타(무직 등),1인,3인 이상,다문화가구,805.0
5분위,50~59세,고졸,임시·일용근로자,1인,1인,다문화가구,17512.0
5분위,65세 이상,대졸 이상,상용근로자,1인,0인,다문화가구,10553.0
5분위,50~59세,대졸 이상,자영업자,4인,2인,한부모가구,11565.0
2분위,65세 이상,대졸 이상,자영업자,2인,1인,한부모가구,7346.0
1분위,30~39세,고졸,임시·일용근로자,3인,3인 이상,장애인가구,3368.0
4분위,39세 이하,초졸 이하,임시·일용근로자,5인 이상,2인,노인가구,8784.0
3분위,30~39세,중졸,상용근로자,3인,1인,다문화가구,6137.0
1분위,30~39세,초졸 이하,자영업자,2인,1인,한부모가구,1623.0
3분위,39세 이하,초졸 이하,기타(무직 등),1인,1인,다문화가구,12390.0
1분위,39세 이하,중졸,기타(무직 등),4인,1인,장애인가구,1929.0
5분위,40~49세,고졸,임시·일용근로자,2인,0인,장애인가구,47952.0
2분위,65세 이상,대졸 이상,기타(무직 등),2인,0인,노인가구,4140.0
4분위,40~49세,대졸 이상,상용근로자,5인 이상,1인,장애인가구,9518.0
2분위,39세 이하,초졸 이하,기타(무직 등),3인,3인 이상,다문화가구,10242.0
3분위,50~59세,고졸,임시·일용근로자,3인,0인,노인가구,15421.0
3분위,50~59세,대졸 이상,상용근로자,5인 이상,1인,노인가구,3901.0
1분위,30~39세,고졸,자영업자,4인,1인,한부모가구,1503.0
5분위,60세 이상,중졸,상용근로자,1인,3인 이상,다문화가구,28985.0
4분위,30~39세,초졸 이하,임시·일용근로자,1인,3인 이상,장애인가구,27347.0
5분위,30~39세,초졸 이하,임시·일용근로자,4인,3인 이상,한부모가구,21210.0
5분위,60세 이상,고졸,기타(무직 등),5인 이상,2인,다문화가구,13816.0
