country,year,gdp,corruption,treated
Wakanda,2014,,47,1
Naboo,2014,1360,38,0
Krypton,2014,1115,49,1
Gallifrey,2014,1459,39,0
Westeros,2014,577,73,0
Atlantis,2014,713,58,0
Alderaan,2014,1482,0,1
Gotham,2014,841,55,0
Neverland,2014,656,63,1
Hogwarts,2014,909,55,0
Wakanda,2015,,32,1
Naboo,2015,1831,8,0
Krypton,2015,1182,39,1
Gallifrey,2015,967,14,0
Westeros,2015,1777,14,0
Atlantis,2015,1161,,0
Alderaan,2015,1715,14,1
Gotham,2015,684,,0
Neverland,2015,1279,18,1
Hogwarts,2015,1236,26,0
Wakanda,2016,1093,,1
Naboo,2016,1209,53,0
Krypton,2016,,15,1
Gallifrey,2016,1421,49,0
Westeros,2016,1313,25,0
Atlantis,2016,721,,0
Alderaan,2016,854,72,1
Gotham,2016,1084,54,0
Neverland,2016,1698,13,1
Hogwarts,2016,1723,21,0
Wakanda,2017,826,81,1
Naboo,2017,810,58,0
Krypton,2017,1516,40,1
Gallifrey,2017,1738,5,0
Westeros,2017,1744,26,0
Atlantis,2017,1878,0,0
Alderaan,2017,589,82,1
Gotham,2017,1976,,0
Neverland,2017,993,38,1
Hogwarts,2017,,87,0
Wakanda,2018,826,55,1
Naboo,2018,828,38,0
Krypton,2018,935,77,1
Gallifrey,2018,568,68,0
Westeros,2018,,13,0
Atlantis,2018,,2,0
Alderaan,2018,685,84,1
Gotham,2018,1970,21,0
Neverland,2018,1260,29,1
Hogwarts,2018,829,54,0
Wakanda,2019,534,69,1
Naboo,2019,1647,12,0
Krypton,2019,1456,37,1
Gallifrey,2019,,56,0
Westeros,2019,1093,,0
Atlantis,2019,1430,39,0
Alderaan,2019,681,,1
Gotham,2019,523,66,0
Neverland,2019,628,86,1
Hogwarts,2019,782,51,0
Wakanda,2020,1712,29,1
Naboo,2020,731,51,0
Krypton,2020,1797,0,1
Gallifrey,2020,1616,31,0
Westeros,2020,1265,22,0
Atlantis,2020,975,,0
Alderaan,2020,1948,0,1
Gotham,2020,642,39,0
Neverland,2020,733,67,1
Hogwarts,2020,1831,19,0
Wakanda,2021,,81,1
Naboo,2021,1775,23,0
Krypton,2021,1613,20,1
Gallifrey,2021,1393,25,0
Westeros,2021,883,51,0
Atlantis,2021,1686,3,0
Alderaan,2021,1577,20,1
Gotham,2021,1767,0,0
Neverland,2021,1458,31,1
Hogwarts,2021,686,,0
Wakanda,2022,,53,1
Naboo,2022,1795,23,0
Krypton,2022,905,70,1
Gallifrey,2022,,1,0
Westeros,2022,1855,10,0
Atlantis,2022,900,44,0
Alderaan,2022,1772,4,1
Gotham,2022,1928,4,0
Neverland,2022,1673,29,1
Hogwarts,2022,1427,51,0
Wakanda,2023,1085,52,1
Naboo,2023,849,44,0
Krypton,2023,1971,0,1
Gallifrey,2023,1765,30,0
Westeros,2023,1596,17,0
Atlantis,2023,1708,8,0
Alderaan,2023,583,84,1
Gotham,2023,1153,40,0
Neverland,2023,1694,14,1
Hogwarts,2023,1257,,0
